上下对开 上下對開
上身回正 上身回正
上身微起 上身微起
下按于小腹前 下按於小腹前
下沉 下沉
下沉右转 下沉右轉
下沉右转移重心到左腿 下沉右轉移重心到左腿
下沉左转移重心到右腿 下沉左轉移重心到右腿
下沉微左转 下沉微左轉
下沉收左腿 下沉收左腿
下沉放松 下沉放鬆
下落于右膝上方 下落於右膝上方
下蹲 下蹲
与右拳合于右腿里侧上方 與右拳合於右腿裡側上方
与肩同宽 與肩同宽
两手一上一下划弧 兩手一上一下划弧
两手之间相距约一小臂宽 兩手之間相距约一小臂宽
两手内旋向里向上翻 兩手內旋向裡向上翻
两手合于右腿上方 兩手合於右腿上方
两手外旋上翻 兩手外旋上翻
于大腿外侧 於大腿外側
交叉于右胸下方 交叉於右胸下方
人下沉 人下沉
人微前倾 人微前傾
人起来 人起來
从上方相合 从上方相合
以右拳面为支点内旋 以右拳面為支點內旋
以左拳面为支撑点 以左拳面為支撐點
位于右腿上方 位於右腿上方
位于大腿前方 位於大腿前方
内旋上提至面部前方 內旋上提至面部前方
划弧至头顶 划弧至頭頂
到身体前中线 到身體前中線
双手下按至胸前 雙手下按至胸前
双手内旋向里向上翻 雙手內旋向裡向上翻
双手内旋至掌背相对 雙手內旋至掌背相對
双手变拳外旋 雙手變拳外旋
双手合于右前方 雙手合於右前方
双手合于胸口 雙手合於胸口
双手向两侧拉开 雙手向兩側拉開
双手向左击出 雙手向左擊出
双手向身体两侧拉开 雙手向身體兩側拉開
双手在身体前方慢慢往上提 雙手在身體前方慢慢往上提
双手外旋 雙手外旋
双手外旋翻掌 雙手外旋翻掌
双手往前下方划弧 雙手往前下方划弧
双手微内旋 雙手微內旋
双手微前伸 雙手微前伸
双手微打开 雙手微打開
双手拉开 雙手拉開
双手拉至肩平 雙手拉至肩平
双手指向下穿 雙手指向下穿
双手放在双腿两侧 雙手放在雙腿兩側
双手放松向下落 雙手放鬆向下落
双手继续向两侧打开 雙手繼續向兩側打開
双手翻掌心向上 雙手翻掌心向上
双手自然回于身体两侧 雙手自然回於身體兩側
双拳内旋外翻变掌合于胸前 雙拳內旋外翻變掌合於胸前
双拳向上向里合 雙拳向上向裡合
双拳左下右上拉开 雙拳左下右上拉開
双肘微打开 雙肘微打開
双脚并拢 雙腳並攏
双腿并立 雙腿並立
双臂内旋 雙臂內旋
双臂内旋翻掌 雙臂內旋翻掌
变双掌心向上 變雙掌心向上
右小臂上抬 右小臂上抬
右小臂内收 右小臂內收
右手下落于右腿外侧 右手下落於右腿外側
右手内收 右手內收
右手内旋 右手內旋
右手到左胯前 右手到左胯前
右手变勾微内旋 右手變勾微內旋
右手变拳 右手變拳
右手变拳上提 右手變拳上提
右手向下落于右膝上方 右手向下落於右膝上方
右手向后抽 右手向後抽
右手向外撑 右手向外撐
右手向身体里合 右手向身體裡合
右手在右大腿外侧 右手在右大腿外側
右手外旋 右手外旋
右手外旋下落到身体中线 右手外旋下落到身體中線
右手外旋翻掌向下 右手外旋翻掌向下
右手小臂向上抬 右手小臂向上抬
右手往上抬至与肩同高 右手往上抬至與肩同高
右手按左手至左掌心向外 右手按左手至左掌心向外
右手掌心向上 右手掌心向上
右手松肩 右手鬆肩
右手继续外旋至拳心向上 右手繼續外旋至拳心向上
右拳下落于右大腿内侧 右拳下落於右大腿內側
右拳内旋上提外摆 右拳內旋上提外擺
右拳内旋打出 右拳內旋打出
右拳内旋领劲变向下栽拳 右拳內旋領勁變向下栽拳
右拳到左胯前 右拳到左胯前
右拳变掌微前推 右拳變掌微前推
右拳合于右耳旁 右拳合於右耳旁
右拳向下栽 右拳向下栽
右拳向外旋至右腿上方 右拳向外旋至右腿上方
右拳拳心向上 右拳拳心向上
右拳拳心向下合于右胸前 右拳拳心向下合於右胸前
右拳收于右腰间 右拳收於右腰間
右拳放松外旋至拳心向右 右拳放鬆外旋至拳心向右
右拳旋至右膝外侧 右拳旋至右膝外側
右拳里合 右拳裡合
右拳随上步划弧合于左拳下方 右拳隨上步划弧合於左拳下方
右掌下按于裆前 右掌下按於裆前
右掌往左膝内侧下击 右掌往左膝內側下擊
右肘拉开 右肘拉開
右肘领劲向上提 右肘領勁向上提
右脚后跟用力向右蹬出 右腳後跟用力向右蹬出
右脚向右横开一大步 右腳向右橫開一大步
右腿向右铲出 右腿向右鏟出
右转 右轉
右转移重心到左腿 右轉移重心到左腿
右转翻右掌心朝外 右轉翻右掌心朝外
同时两手一上一下划弧 同時兩手一上一下划弧
同时勾右脚尖 同時勾右腳尖
同时双手下按 同時雙手下按
同时双手变拳 同時雙手變拳
同时双手合于腹前 同時雙手合於腹前
同时双手向两侧打开 同時雙手向兩側打開
同时双手向内旋合于双耳后方 同時雙手向內旋合於雙耳後方
同时双手向右击出 同時雙手向右擊出
同时双手落于小腹前 同時雙手落於小腹前
同时双拳变掌微右转 同時雙拳變掌微右轉
同时右手变拳 同時右手變拳
同时右手砸拳于左掌心 同時右手砸拳於左掌心
同时右腿向左脚后方插步 同時右腿向左腳後方插步
同时左手继续上抬 同時左手繼續上抬
同时左手贴身翻掌 同時左手貼身翻掌
同时左掌下落于左膝内侧 同時左掌下落於左膝內側
同时左掌变拳左肘向后击出 同時左掌變拳左肘向後擊出
同时左掌继续往右手方向穿 同時左掌繼續往右手方向穿
同时开右脚 同時開右腳
同时提右腿 同時提右腿
同时提右膝右转 同時提右膝右轉
同时收左腿 同時收左腿
同时穿左掌 同時穿左掌
同时翻右掌心向前 同時翻右掌心向前
向内击出 向內擊出
向前击出 向前擊出
向右前点地 向右前點地
向后抽 向後抽
向左开步 向左開步
向左横开一步 向左橫開一步
含胸 含胸
左下右上拉开 左下右上拉開
左小臂下落于左膝内侧 左小臂下落於左膝內側
左小臂微内收 左小臂微內收
左手下落于右膝内侧 左手下落於右膝內側
左手内旋 左手內旋
左手内旋至掌心斜向 左手內旋至掌心斜向
左手变拳 左手變拳
左手变掌 左手變掌
左手合于右大臂下方 左手合於右大臂下方
左手向上划弧 左手向上划弧
左手向前穿 左手向前穿
左手向右穿掌至小腹前 左手向右穿掌至小腹前
左手在右大腿内侧 左手在右大腿內側
左手外旋 左手外旋
左手外旋掌心向上合于右膝前上方 左手外旋掌心向上合於右膝前上方
左手外旋松肩 左手外旋鬆肩
左手往下撑 左手往下撐
左手往左膝前下穿 左手往左膝前下穿
左手手指向下 左手手指向下
左手指领劲 左手指領勁
左手指领劲下旋 左手指領勁下旋
左手掌心向下 左手掌心向下
左手掌心向右 左手掌心向右
左手推右手臂 左手推右手臂
左手继续外旋至掌心向右 左手繼續外旋至掌心向右
左手翻掌至掌心向斜下 左手翻掌至掌心向斜下
左手臂微外旋 左手臂微外旋
左手里合于左肩前 左手裡合於左肩前
左手随左移 左手隨左移
左手随身体右转向右前划弧至右肩前 左手隨身體右轉向右前划弧至右肩前
左拳下落于右肋处 左拳下落於右肋處
左拳下落于右胯前 左拳下落於右胯前
左拳下落于小腹前 左拳下落於小腹前
左拳下落于腹前 左拳下落於腹前
左拳变掌下落于左大腿内侧 左拳變掌下落於左大腿內側
左拳后拉到左腰上 左拳後拉到左腰上
左拳向左膝正前方冲拳 左拳向左膝正前方冲拳
左拳在左小腹前 左拳在左小腹前
左拳随右转向右到身体前方 左拳隨右轉向右到身體前方
